State/ UT,District/ Area,Total Crimes against Women,Crime_Probability,District_Score,Normalized_Score
Chhattisgarh,Bizapur,29.0,0.002534965034965035,492.0,0.0027028511783771907
Chhattisgarh,Dantewara,30.0,0.0026223776223776225,500.0,0.0027467999780256
Chhattisgarh,Dhamtari,98.0,0.008566433566433567,1608.0,0.00883370872933033
Chhattisgarh,Durg,585.0,0.05113636363636364,8983.0,0.04934900840520793
Chhattisgarh,Gariyaband,109.0,0.009527972027972028,1826.0,0.010031313519749492
Chhattisgarh,G. R. P. Raipur,12.0,0.001048951048951049,158.0,0.0008679887930560896
Chhattisgarh,Jagdalpur,154.0,0.013461538461538462,2648.0,0.01454705268362358
Chhattisgarh,Janjgir,327.0,0.028583916083916083,4771.0,0.026209965390320278
Chhattisgarh,Jashpur,204.0,0.01783216783216783,3632.0,0.01995275504037796
Chhattisgarh,Kabirdham,158.0,0.01381118881118881,2434.0,0.013371422293028621
Chhattisgarh,Kanker,152.0,0.013286713286713287,2452.0,0.013470307092237543
Chhattisgarh,Kondagaon,81.0,0.007080419580419581,1364.0,0.007493270340053837
Chhattisgarh,Korba,232.0,0.02027972027972028,3591.0,0.019727517442179862
Chhattisgarh,Koriya,232.0,0.02027972027972028,3684.0,0.02023842223809262
Chhattisgarh,Mahasamund,192.0,0.016783216783216783,3035.0,0.016673075866615393
Chhattisgarh,Mungali,122.0,0.010664335664335665,1908.0,0.01048178871614569
Chhattisgarh,Narayanpur,13.0,0.0011363636363636363,242.0,0.0013294511893643904
Chhattisgarh,Raigarh,367.0,0.03208041958041958,5702.0,0.031324506949403946
Chhattisgarh,Raipur,724.0,0.06328671328671329,11691.0,0.06422567708619459
Chhattisgarh,Rajnandgaon,248.0,0.021678321678321677,3898.0,0.02141405262868758
Chhattisgarh,Sarguja,180.0,0.015734265734265736,3048.0,0.01674449266604406
Chhattisgarh,Sukma,17.0,0.001486013986013986,284.0,0.001560182387518541
Chhattisgarh,Surajpur,210.0,0.018356643356643356,3244.0,0.017821238257430094
Chhattisgarh,Total District(s),5720.0,0.5,91015.0,0.5
Goa,North Goa,197.0,0.26986301369863014,3136.0,0.27712972781901735
Goa,South Goa,154.0,0.21095890410958903,2324.0,0.20537292329445034
Goa,C. I. D.,14.0,0.019178082191780823,198.0,0.017497348886532343
Goa,Total District(s),365.0,0.5,5658.0,0.5
Gujarat,Ahmedabad City,1066.0,0.06866786910590054,13742.0,0.06841240603375318
Gujarat,Ahmedabad Rural,117.0,0.0075367173408915225,1390.0,0.006919898441778265
Gujarat,Amreli,221.0,0.01423602164390621,2832.0,0.014098670782097875
Gujarat,Anand,265.0,0.017070342695181654,3793.0,0.018882859560910042
Gujarat,Arvalli,112.0,0.007214635403246586,1538.0,0.007656693383780554
Gujarat,Banaskantha,370.0,0.02383406338572533,4988.0,0.024831980883158262
Gujarat,Bharuch,172.0,0.011079618654985829,2208.0,0.010992183999601732
Gujarat,Bhavnagar,194.0,0.01249677918062355,2442.0,0.012157116543037786
Gujarat,Botad,72.0,0.004637979902087091,1034.0,0.005147607905610594
Gujarat,Chhotaudepur,49.0,0.0031564029889203813,706.0,0.003514711007119032
Gujarat,C. I. D. Crime,0.0,0.0,0.0,0.0
Gujarat,Dahod,251.0,0.016168513269775833,3316.0,0.016508189376213473
Gujarat,Dang,18.0,0.0011594949755217728,230.0,0.0011450191666251804
Gujarat,Devbhumi Dwarka,74.0,0.004766812677145065,962.0,0.004789167123014885
Gujarat,Gandhinagar,197.0,0.012690028343210513,2305.0,0.011475083387265396
Gujarat,Gir Somnath,174.0,0.011208451430043804,2022.0,0.010066211977896151
Gujarat,Jamnagar,253.0,0.016297346044833804,3056.0,0.015213819883506745
Gujarat,Junagadh,273.0,0.017585673795413554,3114.0,0.0155025638472644
Gujarat,Kachchh East(G),166.0,0.010693120329811904,2416.0,0.012027679593767113
Gujarat,Kachchh West(B),143.0,0.009211543416645195,1854.0,0.009229850151839499
Gujarat,Kheda,181.0,0.011659366142746715,2598.0,0.012933738238661821
Gujarat,Mahisagar,84.0,0.0054109765524349394,1104.0,0.005496091999800866
Gujarat,Mehsana,322.0,0.020742076784333936,4176.0,0.0207895653905511
Gujarat,Morbi,104.0,0.006699304303014687,1368.0,0.0068103748693184646
Gujarat,Narmada,28.0,0.0018036588508116465,366.0,0.0018220739781948524
Gujarat,Navsari,86.0,0.0055398093274929144,1148.0,0.005715139144720466
Gujarat,Panchmahal,152.0,0.00979129090440608,1480.0,0.0073679494200229005
Gujarat,Patan,156.0,0.01004895645452203,2059.0,0.010250410713396725
Gujarat,Porbandar,101.0,0.006506055140427725,1194.0,0.005944142978045502
Gujarat,Rajkot City,356.0,0.022932233960319504,4566.0,0.02273111962961119
Gujarat,Rajkot Rural,272.0,0.017521257407884565,3470.0,0.01727485438343207
Gujarat,Sabarkantha,244.0,0.01571759855707292,2814.0,0.014009060586448947
Gujarat,Surat City,502.0,0.032337026539551665,6776.0,0.03373326031761836
Gujarat,Surat Rural,106.0,0.006828137078072662,1526.0,0.007596953253347936
Gujarat,Surendranagar,164.0,0.010564287554753929,2348.0,0.011689152187982277
Gujarat,Tapi,64.0,0.004122648801855192,864.0,0.004301289391148504
Gujarat,Vadodara City,399.0,0.02570213862406596,4886.0,0.024324189774481007
Gujarat,Vadodara Rural,84.0,0.0054109765524349394,1144.0,0.0056952257679095935
Gujarat,Valsad,156.0,0.01004895645452203,2386.0,0.011878329267685568
Gujarat,W.Rly Ahmedabad,0.0,0.0,0.0,0.0
Gujarat,W.Rly Vadodara,14.0,0.0009018294254058232,214.0,0.0010653656593816896
Gujarat,Total District(s),7762.0,0.5,100435.0,0.5
Haryana,Ambala (Rural),91.0,0.004816853694685581,1140.0,0.0043968250295050105
Haryana,Ambala (Urban),154.0,0.008151598560237137,2245.0,0.008658659816876094
Haryana,Bhiwani,361.0,0.01910861740419225,4595.0,0.017722290360153967
Haryana,Faridabad,973.0,0.05150328181240737,13761.0,0.05307430634299864
Haryana,Fatehabad,282.0,0.014926953207706966,3535.0,0.0136340144555265
Haryana,G. R. P.,27.0,0.001429176370950667,336.0,0.0012959063244856871
Haryana,Gurgaon,959.0,0.05076222739784036,13942.0,0.05377239873803408
Haryana,Hissar,611.0,0.03234173195003176,7456.0,0.028756778438587153
Haryana,Jhajjar,330.0,0.017467711200508152,4339.0,0.016734933160545824
Haryana,Jind,295.0,0.01561507516409062,3859.0,0.014883638411280556
Haryana,Kaithal,309.0,0.016356129578657633,4308.0,0.016615370374655776
Haryana,Karnal,688.0,0.036417531230150325,9675.0,0.037315159789878045
Haryana,Kurukshetra,326.0,0.01725598136777472,4226.0,0.01629910752165629
Haryana,Mahendergarh,282.0,0.014926953207706966,3850.0,0.014848926634731831
Haryana,Mewat,298.0,0.015773872538640696,4197.0,0.01618725846388818
Haryana,Palwal,363.0,0.019214482320558966,4571.0,0.017629725622690703
Haryana,Panchkula,248.0,0.013127249629472792,3768.0,0.014532663781732348
